what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xtext,1.0.2.v201102150722,"org.eclipse.xtext",1320323006482
started,bundle,org.eclipse.xtext.builder,1.0.2.v201102150722,"org.eclipse.xtext.builder",1320323006484
started,bundle,org.eclipse.xtext.ui,1.0.2.v201102150722,"org.eclipse.xtext.ui",1320323006486
started,bundle,org.eclipse.xtext.ui.shared,1.0.2.v201102150722,"org.eclipse.xtext.ui.shared",1320323006487
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1320323006488
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1320323006489
started,bundle,com.ge.research.sadl,1.0.27,"com.ge.research.sadl",1320323006490
started,bundle,com.ge.research.sadl.ui,1.0.27,"com.ge.research.sadl.ui",1320323006492
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.3.v20111014-0100,"org.eclipse.mylyn.bugzilla.core",1320323006493
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1320323006494
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1320323006496
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1320323006496
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1320323006497
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1320323006498
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1320323006500
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1320323006501
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.3.v20111026-0100,"org.eclipse.mylyn.tasks.ui",1320323006503
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1320323006505
os,sysinfo,,,"win32",1320323006510
arch,sysinfo,,,"x86",1320323006510
ws,sysinfo,,,"win32",1320323006510
locale,sysinfo,,,"no_NO",1320323006510
processors,sysinfo,,,"2",1320323006511
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320323006511
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1320323006511
java.specification.name,sysinfo,,,"Java Platform API Specification",1320323006511
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320323006511
java.specification.version,sysinfo,,,"1.6",1320323006511
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1320323006511
java.version,sysinfo,,,"1.6.0_26",1320323006511
java.vm.info,sysinfo,,,"mixed mode, sharing",1320323006511
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1320323006511
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320323006511
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320323006511
java.vm.specification.version,sysinfo,,,"1.0",1320323006511
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1320323006511
java.vm.version,sysinfo,,,"20.1-b02",1320323006511
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1320323006631
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project Paper.",1320323006780
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1320323007217
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1320323057035
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1320323057044
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1320323058162
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1320323058193
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.touchpoint.eclipse",1320323058959
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1320323066299
